Edad	Sexo	Unidad	Periodo	Total
Total	Ambos sexos	Porcentaje	2007T2	100,0
Total	Ambos sexos	Porcentaje	2007T1	100,0
Total	Ambos sexos	Porcentaje	2006T4	100,0
Total	Ambos sexos	Porcentaje	2006T3	100,0
Total	Ambos sexos	Porcentaje	2006T2	100,0
Total	Ambos sexos	Porcentaje	2006T1	100,0
Total	Ambos sexos	Porcentaje	2005T4	100,0
Total	Ambos sexos	Porcentaje	2005T3	100,0
Total	Ambos sexos	Porcentaje	2005T2	100,0
Total	Ambos sexos	Porcentaje	2005T1	100,0
Total	Ambos sexos	Porcentaje	2004T4	100,0
Total	Ambos sexos	Porcentaje	2004T3	100,0
Total	Ambos sexos	Porcentaje	2004T2	100,0
Total	Ambos sexos	Porcentaje	2004T1	100,0
Total	Ambos sexos	Porcentaje	2003T4	100,0
Total	Ambos sexos	Porcentaje	2003T3	100,0
Total	Ambos sexos	Porcentaje	2003T2	100,0
Total	Ambos sexos	Porcentaje	2003T1	100,0
Total	Ambos sexos	Porcentaje	2002T4	100,0
Total	Ambos sexos	Porcentaje	2002T3	100,0
Total	Ambos sexos	Porcentaje	2002T2	100,0
Total	Ambos sexos	Porcentaje	2002T1	100,0
Total	Hombres	Valor absoluto	2022T3	12.451,8
Total	Hombres	Valor absoluto	2022T2	12.331,9
Total	Hombres	Valor absoluto	2022T1	12.268,6
Total	Hombres	Valor absoluto	2021T4	12.279,1
Total	Hombres	Valor absoluto	2021T3	12.390,0
Total	Hombres	Valor absoluto	2021T2	12.248,0
Total	Hombres	Valor absoluto	2021T1	12.085,3
Total	Hombres	Valor absoluto	2020T4	12.198,2
Total	Hombres	Valor absoluto	2020T3	12.211,6
Total	Hombres	Valor absoluto	2020T2	11.800,5
Total	Hombres	Valor absoluto	2020T1	12.225,4
Total	Hombres	Valor absoluto	2019T4	12.314,7
Total	Hombres	Valor absoluto	2019T3	12.325,0
Total	Hombres	Valor absoluto	2019T2	12.284,3
Total	Hombres	Valor absoluto	2019T1	12.169,6
Total	Hombres	Valor absoluto	2018T4	12.227,2
Total	Hombres	Valor absoluto	2018T3	12.272,0
Total	Hombres	Valor absoluto	2018T2	12.202,2
Total	Hombres	Valor absoluto	2018T1	12.124,8
Total	Hombres	Valor absoluto	2017T4	12.159,8
Total	Hombres	Valor absoluto	2017T3	12.231,2
Total	Hombres	Valor absoluto	2017T2	12.158,3
Total	Hombres	Valor absoluto	2017T1	12.139,1
Total	Hombres	Valor absoluto	2016T4	12.166,9
Total	Hombres	Valor absoluto	2016T3	12.242,1
Total	Hombres	Valor absoluto	2016T2	12.220,7
Total	Hombres	Valor absoluto	2016T1	12.225,3
Total	Hombres	Valor absoluto	2015T4	12.250,9
Total	Hombres	Valor absoluto	2015T3	12.355,3
Total	Hombres	Valor absoluto	2015T2	12.349,9
Total	Hombres	Valor absoluto	2015T1	12.322,4
Total	Hombres	Valor absoluto	2014T4	12.382,0
Total	Hombres	Valor absoluto	2014T3	12.399,3
Total	Hombres	Valor absoluto	2014T2	12.373,2
Total	Hombres	Valor absoluto	2014T1	12.282,1
Total	Hombres	Valor absoluto	2013T4	12.415,6
Total	Hombres	Valor absoluto	2013T3	12.545,6
Total	Hombres	Valor absoluto	2013T2	12.527,6
Total	Hombres	Valor absoluto	2013T1	12.596,6
Total	Hombres	Valor absoluto	2012T4	12.647,7
Total	Hombres	Valor absoluto	2012T3	12.782,4
Total	Hombres	Valor absoluto	2012T2	12.787,6
Total	Hombres	Valor absoluto	2012T1	12.740,6
Total	Hombres	Valor absoluto	2011T4	12.838,0
Total	Hombres	Valor absoluto	2011T3	12.900,2
Total	Hombres	Valor absoluto	2011T2	12.853,6
Total	Hombres	Valor absoluto	2011T1	12.841,7
Total	Hombres	Valor absoluto	2010T4	12.893,6
Total	Hombres	Valor absoluto	2010T3	12.999,3
Total	Hombres	Valor absoluto	2010T2	13.016,0
Total	Hombres	Valor absoluto	2010T1	12.928,8
Total	Hombres	Valor absoluto	2009T4	12.954,6
Total	Hombres	Valor absoluto	2009T3	12.995,7
Total	Hombres	Valor absoluto	2009T2	13.073,2
Total	Hombres	Valor absoluto	2009T1	13.107,2
Total	Hombres	Valor absoluto	2008T4	13.114,5
Total	Hombres	Valor absoluto	2008T3	13.199,4
Total	Hombres	Valor absoluto	2008T2	13.141,0
Total	Hombres	Valor absoluto	2008T1	13.044,4
Total	Hombres	Valor absoluto	2007T4	12.981,0
Total	Hombres	Valor absoluto	2007T3	12.987,5
Total	Hombres	Valor absoluto	2007T2	12.875,7
Total	Hombres	Valor absoluto	2007T1	12.731,0
Total	Hombres	Valor absoluto	2006T4	12.670,8
Total	Hombres	Valor absoluto	2006T3	12.696,6
Total	Hombres	Valor absoluto	2006T2	12.575,1
Total	Hombres	Valor absoluto	2006T1	12.493,8
Total	Hombres	Valor absoluto	2005T4	12.460,3
Total	Hombres	Valor absoluto	2005T3	12.436,5
Total	Hombres	Valor absoluto	2005T2	12.348,9
Total	Hombres	Valor absoluto	2005T1	12.222,2
Total	Hombres	Valor absoluto	2004T4	12.103,0
Total	Hombres	Valor absoluto	2004T3	12.058,1
Total	Hombres	Valor absoluto	2004T2	11.917,6
Total	Hombres	Valor absoluto	2004T1	11.830,3
Total	Hombres	Valor absoluto	2003T4	11.826,2
Total	Hombres	Valor absoluto	2003T3	11.800,2
Total	Hombres	Valor absoluto	2003T2	11.661,4
Total	Hombres	Valor absoluto	2003T1	11.552,5
Total	Hombres	Valor absoluto	2002T4	11.472,8
Total	Hombres	Valor absoluto	2002T3	11.445,1
Total	Hombres	Valor absoluto	2002T2	11.289,4
Total	Hombres	Valor absoluto	2002T1	11.192,3
Total	Hombres	Porcentaje	2022T3	100,0
Total	Hombres	Porcentaje	2022T2	100,0
Total	Hombres	Porcentaje	2022T1	100,0
Total	Hombres	Porcentaje	2021T4	100,0
Total	Hombres	Porcentaje	2021T3	100,0
Total	Hombres	Porcentaje	2021T2	100,0
Total	Hombres	Porcentaje	2021T1	100,0
Total	Hombres	Porcentaje	2020T4	100,0
Total	Hombres	Porcentaje	2020T3	100,0
Total	Hombres	Porcentaje	2020T2	100,0
Total	Hombres	Porcentaje	2020T1	100,0
Total	Hombres	Porcentaje	2019T4	100,0
Total	Hombres	Porcentaje	2019T3	100,0
Total	Hombres	Porcentaje	2019T2	100,0
Total	Hombres	Porcentaje	2019T1	100,0
Total	Hombres	Porcentaje	2018T4	100,0
Total	Hombres	Porcentaje	2018T3	100,0
Total	Hombres	Porcentaje	2018T2	100,0
Total	Hombres	Porcentaje	2018T1	100,0
Total	Hombres	Porcentaje	2017T4	100,0
Total	Hombres	Porcentaje	2017T3	100,0
Total	Hombres	Porcentaje	2017T2	100,0
Total	Hombres	Porcentaje	2017T1	100,0
Total	Hombres	Porcentaje	2016T4	100,0
Total	Hombres	Porcentaje	2016T3	100,0
Total	Hombres	Porcentaje	2016T2	100,0
Total	Hombres	Porcentaje	2016T1	100,0
Total	Hombres	Porcentaje	2015T4	100,0
Total	Hombres	Porcentaje	2015T3	100,0
Total	Hombres	Porcentaje	2015T2	100,0
Total	Hombres	Porcentaje	2015T1	100,0
Total	Hombres	Porcentaje	2014T4	100,0
Total	Hombres	Porcentaje	2014T3	100,0
Total	Hombres	Porcentaje	2014T2	100,0
Total	Hombres	Porcentaje	2014T1	100,0
Total	Hombres	Porcentaje	2013T4	100,0
Total	Hombres	Porcentaje	2013T3	100,0
Total	Hombres	Porcentaje	2013T2	100,0
Total	Hombres	Porcentaje	2013T1	100,0
Total	Hombres	Porcentaje	2012T4	100,0
Total	Hombres	Porcentaje	2012T3	100,0
Total	Hombres	Porcentaje	2012T2	100,0
Total	Hombres	Porcentaje	2012T1	100,0
Total	Hombres	Porcentaje	2011T4	100,0
Total	Hombres	Porcentaje	2011T3	100,0
Total	Hombres	Porcentaje	2011T2	100,0
Total	Hombres	Porcentaje	2011T1	100,0
Total	Hombres	Porcentaje	2010T4	100,0
Total	Hombres	Porcentaje	2010T3	100,0
Total	Hombres	Porcentaje	2010T2	100,0
Total	Hombres	Porcentaje	2010T1	100,0
Total	Hombres	Porcentaje	2009T4	100,0
Total	Hombres	Porcentaje	2009T3	100,0
Total	Hombres	Porcentaje	2009T2	100,0
Total	Hombres	Porcentaje	2009T1	100,0
Total	Hombres	Porcentaje	2008T4	100,0
Total	Hombres	Porcentaje	2008T3	100,0
Total	Hombres	Porcentaje	2008T2	100,0
Total	Hombres	Porcentaje	2008T1	100,0
Total	Hombres	Porcentaje	2007T4	100,0
Total	Hombres	Porcentaje	2007T3	100,0
Total	Hombres	Porcentaje	2007T2	100,0
Total	Hombres	Porcentaje	2007T1	100,0
Total	Hombres	Porcentaje	2006T4	100,0
Total	Hombres	Porcentaje	2006T3	100,0
Total	Hombres	Porcentaje	2006T2	100,0
Total	Hombres	Porcentaje	2006T1	100,0
Total	Hombres	Porcentaje	2005T4	100,0
Total	Hombres	Porcentaje	2005T3	100,0
Total	Hombres	Porcentaje	2005T2	100,0
Total	Hombres	Porcentaje	2005T1	100,0
Total	Hombres	Porcentaje	2004T4	100,0
Total	Hombres	Porcentaje	2004T3	100,0
Total	Hombres	Porcentaje	2004T2	100,0
Total	Hombres	Porcentaje	2004T1	100,0
Total	Hombres	Porcentaje	2003T4	100,0
Total	Hombres	Porcentaje	2003T3	100,0
Total	Hombres	Porcentaje	2003T2	100,0
Total	Hombres	Porcentaje	2003T1	100,0
Total	Hombres	Porcentaje	2002T4	100,0
Total	Hombres	Porcentaje	2002T3	100,0
Total	Hombres	Porcentaje	2002T2	100,0
Total	Hombres	Porcentaje	2002T1	100,0
Total	Mujeres	Valor absoluto	2022T3	11.074,1
Total	Mujeres	Valor absoluto	2022T2	11.055,5
Total	Mujeres	Valor absoluto	2022T1	10.990,9
Total	Mujeres	Valor absoluto	2021T4	11.009,7
Total	Mujeres	Valor absoluto	2021T3	11.057,7
Total	Mujeres	Valor absoluto	2021T2	10.967,5
Total	Mujeres	Valor absoluto	2021T1	10.775,4
Total	Mujeres	Valor absoluto	2020T4	10.865,9
Total	Mujeres	Valor absoluto	2020T3	10.688,2
Total	Mujeres	Valor absoluto	2020T2	10.174,7
Total	Mujeres	Valor absoluto	2020T1	10.768,8
Total	Mujeres	Valor absoluto	2019T4	10.844,1
Total	Mujeres	Valor absoluto	2019T3	10.763,7
Total	Mujeres	Valor absoluto	2019T2	10.751,2
Total	Mujeres	Valor absoluto	2019T1	10.655,8
Total	Mujeres	Valor absoluto	2018T4	10.641,6
Total	Mujeres	Valor absoluto	2018T3	10.582,0
Total	Mujeres	Valor absoluto	2018T2	10.631,9
Total	Mujeres	Valor absoluto	2018T1	10.545,5
Total	Mujeres	Valor absoluto	2017T4	10.605,2
Total	Mujeres	Valor absoluto	2017T3	10.549,8
Total	Mujeres	Valor absoluto	2017T2	10.569,4
Total	Mujeres	Valor absoluto	2017T1	10.554,2
Total	Mujeres	Valor absoluto	2016T4	10.578,9
Total	Mujeres	Valor absoluto	2016T3	10.606,2
Total	Mujeres	Valor absoluto	2016T2	10.654,9
Total	Mujeres	Valor absoluto	2016T1	10.595,7
Total	Mujeres	Valor absoluto	2015T4	10.622,8
Total	Mujeres	Valor absoluto	2015T3	10.544,2
Total	Mujeres	Valor absoluto	2015T2	10.665,7
Total	Mujeres	Valor absoluto	2015T1	10.577,0
Total	Mujeres	Valor absoluto	2014T4	10.644,9
Total	Mujeres	Valor absoluto	2014T3	10.532,4
Total	Mujeres	Valor absoluto	2014T2	10.602,7
Total	Mujeres	Valor absoluto	2014T1	10.601,8
Total	Mujeres	Valor absoluto	2013T4	10.655,2
Total	Mujeres	Valor absoluto	2013T3	10.627,8
Total	Mujeres	Valor absoluto	2013T2	10.680,3
Total	Mujeres	Valor absoluto	2013T1	10.711,8
Total	Mujeres	Valor absoluto	2012T4	10.712,7
Total	Mujeres	Valor absoluto	2012T3	10.709,6
Total	Mujeres	Valor absoluto	2012T2	10.701,9
Total	Mujeres	Valor absoluto	2012T1	10.692,4
Total	Mujeres	Valor absoluto	2011T4	10.602,3
Total	Mujeres	Valor absoluto	2011T3	10.582,2
Total	Mujeres	Valor absoluto	2011T2	10.612,6
Total	Mujeres	Valor absoluto	2011T1	10.505,7
Total	Mujeres	Valor absoluto	2010T4	10.483,5
Total	Mujeres	Valor absoluto	2010T3	10.405,0
Total	Mujeres	Valor absoluto	2010T2	10.390,4
Total	Mujeres	Valor absoluto	2010T1	10.341,8
Total	Mujeres	Valor absoluto	2009T4	10.270,8
Total	Mujeres	Valor absoluto	2009T3	10.224,1
Total	Mujeres	Valor absoluto	2009T2	10.220,6
Total	Mujeres	Valor absoluto	2009T1	10.195,5
Total	Mujeres	Valor absoluto	2008T4	10.147,7
Total	Mujeres	Valor absoluto	2008T3	9.957,8
Total	Mujeres	Valor absoluto	2008T2	9.891,6
Total	Mujeres	Valor absoluto	2008T1	9.766,0
Total	Mujeres	Valor absoluto	2007T4	9.678,8
Total	Mujeres	Valor absoluto	2007T3	9.572,1
Total	Mujeres	Valor absoluto	2007T2	9.478,4
Total	Mujeres	Valor absoluto	2007T1	9.399,7
Total	Mujeres	Valor absoluto	2006T4	9.344,0
Total	Mujeres	Valor absoluto	2006T3	9.161,2
Total	Mujeres	Valor absoluto	2006T2	9.151,0
Total	Mujeres	Valor absoluto	2006T1	9.027,4
Total	Mujeres	Valor absoluto	2005T4	8.909,2
Total	Mujeres	Valor absoluto	2005T3	8.769,1
Total	Mujeres	Valor absoluto	2005T2	8.780,8
Total	Mujeres	Valor absoluto	2005T1	8.635,2
Total	Mujeres	Valor absoluto	2004T4	8.564,6
Total	Mujeres	Valor absoluto	2004T3	8.430,8
Total	Mujeres	Valor absoluto	2004T2	8.348,9
Total	Mujeres	Valor absoluto	2004T1	8.249,7
Total	Mujeres	Valor absoluto	2003T4	8.190,9
Total	Mujeres	Valor absoluto	2003T3	8.093,3
Total	Mujeres	Valor absoluto	2003T2	7.977,8
Total	Mujeres	Valor absoluto	2003T1	7.868,7
Total	Mujeres	Valor absoluto	2002T4	7.751,5
Total	Mujeres	Valor absoluto	2002T3	7.670,2
Total	Mujeres	Valor absoluto	2002T2	7.580,8
Total	Mujeres	Valor absoluto	2002T1	7.442,7
Total	Mujeres	Porcentaje	2022T3	100,0
Total	Mujeres	Porcentaje	2022T2	100,0
Total	Mujeres	Porcentaje	2022T1	100,0
Total	Mujeres	Porcentaje	2021T4	100,0
Total	Mujeres	Porcentaje	2021T3	100,0
Total	Mujeres	Porcentaje	2021T2	100,0
Total	Mujeres	Porcentaje	2021T1	100,0
Total	Mujeres	Porcentaje	2020T4	100,0
Total	Mujeres	Porcentaje	2020T3	100,0
Total	Mujeres	Porcentaje	2020T2	100,0
Total	Mujeres	Porcentaje	2020T1	100,0
Total	Mujeres	Porcentaje	2019T4	100,0
Total	Mujeres	Porcentaje	2019T3	100,0
Total	Mujeres	Porcentaje	2019T2	100,0
Total	Mujeres	Porcentaje	2019T1	100,0
Total	Mujeres	Porcentaje	2018T4	100,0
Total	Mujeres	Porcentaje	2018T3	100,0
Total	Mujeres	Porcentaje	2018T2	100,0
Total	Mujeres	Porcentaje	2018T1	100,0
Total	Mujeres	Porcentaje	2017T4	100,0
Total	Mujeres	Porcentaje	2017T3	100,0
Total	Mujeres	Porcentaje	2017T2	100,0
Total	Mujeres	Porcentaje	2017T1	100,0
Total	Mujeres	Porcentaje	2016T4	100,0
Total	Mujeres	Porcentaje	2016T3	100,0
Total	Mujeres	Porcentaje	2016T2	100,0
Total	Mujeres	Porcentaje	2016T1	100,0
Total	Mujeres	Porcentaje	2015T4	100,0
Total	Mujeres	Porcentaje	2015T3	100,0
Total	Mujeres	Porcentaje	2015T2	100,0
Total	Mujeres	Porcentaje	2015T1	100,0
Total	Mujeres	Porcentaje	2014T4	100,0
Total	Mujeres	Porcentaje	2014T3	100,0
Total	Mujeres	Porcentaje	2014T2	100,0
Total	Mujeres	Porcentaje	2014T1	100,0
Total	Mujeres	Porcentaje	2013T4	100,0
Total	Mujeres	Porcentaje	2013T3	100,0
Total	Mujeres	Porcentaje	2013T2	100,0
Total	Mujeres	Porcentaje	2013T1	100,0
Total	Mujeres	Porcentaje	2012T4	100,0
Total	Mujeres	Porcentaje	2012T3	100,0
Total	Mujeres	Porcentaje	2012T2	100,0
Total	Mujeres	Porcentaje	2012T1	100,0
Total	Mujeres	Porcentaje	2011T4	100,0
Total	Mujeres	Porcentaje	2011T3	100,0
Total	Mujeres	Porcentaje	2011T2	100,0
Total	Mujeres	Porcentaje	2011T1	100,0
Total	Mujeres	Porcentaje	2010T4	100,0
Total	Mujeres	Porcentaje	2010T3	100,0
Total	Mujeres	Porcentaje	2010T2	100,0
Total	Mujeres	Porcentaje	2010T1	100,0
Total	Mujeres	Porcentaje	2009T4	100,0
Total	Mujeres	Porcentaje	2009T3	100,0
Total	Mujeres	Porcentaje	2009T2	100,0
Total	Mujeres	Porcentaje	2009T1	100,0
Total	Mujeres	Porcentaje	2008T4	100,0
Total	Mujeres	Porcentaje	2008T3	100,0
Total	Mujeres	Porcentaje	2008T2	100,0
Total	Mujeres	Porcentaje	2008T1	100,0
Total	Mujeres	Porcentaje	2007T4	100,0
Total	Mujeres	Porcentaje	2007T3	100,0
Total	Mujeres	Porcentaje	2007T2	100,0
Total	Mujeres	Porcentaje	2007T1	100,0
Total	Mujeres	Porcentaje	2006T4	100,0
Total	Mujeres	Porcentaje	2006T3	100,0
Total	Mujeres	Porcentaje	2006T2	100,0
Total	Mujeres	Porcentaje	2006T1	100,0
Total	Mujeres	Porcentaje	2005T4	100,0
Total	Mujeres	Porcentaje	2005T3	100,0
Total	Mujeres	Porcentaje	2005T2	100,0
Total	Mujeres	Porcentaje	2005T1	100,0
Total	Mujeres	Porcentaje	2004T4	100,0
Total	Mujeres	Porcentaje	2004T3	100,0
Total	Mujeres	Porcentaje	2004T2	100,0
Total	Mujeres	Porcentaje	2004T1	100,0
Total	Mujeres	Porcentaje	2003T4	100,0
Total	Mujeres	Porcentaje	2003T3	100,0
Total	Mujeres	Porcentaje	2003T2	100,0
Total	Mujeres	Porcentaje	2003T1	100,0
Total	Mujeres	Porcentaje	2002T4	100,0
Total	Mujeres	Porcentaje	2002T3	100,0
Total	Mujeres	Porcentaje	2002T2	100,0
Total	Mujeres	Porcentaje	2002T1	100,0
De 16 a 19 años	Ambos sexos	Valor absoluto	2022T3	333,2
De 16 a 19 años	Ambos sexos	Valor absoluto	2022T2	295,7
De 16 a 19 años	Ambos sexos	Valor absoluto	2022T1	265,0
De 16 a 19 años	Ambos sexos	Valor absoluto	2021T4	242,0
De 16 a 19 años	Ambos sexos	Valor absoluto	2021T3	322,6
De 16 a 19 años	Ambos sexos	Valor absoluto	2021T2	270,0
De 16 a 19 años	Ambos sexos	Valor absoluto	2021T1	193,3
De 16 a 19 años	Ambos sexos	Valor absoluto	2020T4	217,9
De 16 a 19 años	Ambos sexos	Valor absoluto	2020T3	268,5
De 16 a 19 años	Ambos sexos	Valor absoluto	2020T2	198,6
De 16 a 19 años	Ambos sexos	Valor absoluto	2020T1	246,4
De 16 a 19 años	Ambos sexos	Valor absoluto	2019T4	261,1
De 16 a 19 años	Ambos sexos	Valor absoluto	2019T3	308,7
De 16 a 19 años	Ambos sexos	Valor absoluto	2019T2	278,6
De 16 a 19 años	Ambos sexos	Valor absoluto	2019T1	250,4
De 16 a 19 años	Ambos sexos	Valor absoluto	2018T4	256,2
