year,quarter,Investor,Operation Type,Stock Abv,Stock,Activity,Share Change
2007,Q1,hcmax,buy,EMC, - EMC Corp.,Add 5.88%,"20,000"
2007,Q1,hcmax,sell,EMC, - EMC Corp.,Reduce 13.61%,"49,000"
2007,Q1,fairx,buy,EMN, - Eastman Chemical,Buy ,"6,828,800"
2007,Q1,fairx,buy,ESVIF, - Ensign Energy Services Inc.,Add 11.62%,"885,200"
2007,Q1,fairx,buy,ESVIF, - Ensign Energy Services Inc.,Add 6.97%,"496,900"
2007,Q1,WVALX,sell,EXPE, - Expedia Group Inc.,Sell 100.00%,"2,100,000"
2007,Q1,MPGFX,buy,FAST, - Fastenal,Buy ,"400,000"
2007,Q1,fairx,buy,FCX, - Freeport-McMoran Inc.,Buy ,"1,318,024"
2007,Q1,hcmax,buy,FDX, - FedEx Corp.,Add 12.50%,"5,000"
2007,Q1,FPPTX,buy,FL, - Foot Locker Inc.,Add 13.17%,"311,000"
2007,Q1,SSHFX,buy,FLEX, - Flex Ltd.,Add 6.37%,"524,400"
2007,Q1,GLRE,buy,FLML-OLD, - Flamel Technologies SA,Add 5.11%,"79,000"
2007,Q1,BAUPOST,buy,FRH, - Freedom Acquisition Holdings Inc.,Buy ,"1,800,000"
2007,Q1,MPGFX,sell,FUL, - H.B. Fuller Co.,Reduce 3.77%,"130,000"
2007,Q1,LLPFX,buy,FWONA, - Liberty Media Corp Formula One Series A,Add 10.23%,"431,300"
2007,Q1,MPGFX,buy,GE, - General Electric,Add 0.42%,"1,250"
2007,Q1,hcmax,buy,GE, - General Electric,Add 21.00%,"3,018"
2007,Q1,SSHFX,buy,GEN, - Gen Digital Inc.,Add 10.17%,"419,400"
2007,Q1,BAUPOST,sell,GFN, - General Finance Corp.,Sell 100.00%,"277,215"
2007,Q1,TWEBX,sell,GFR, - Great American Financial Resources Inc.,Reduce 6.09%,"23,922"
2007,Q1,SSHFX,buy,GHC, - Graham Holdings Co.,Add 106.43%,"49,792"
2007,Q1,MPGFX,buy,GKSR, - G & K Services Cl A,Add 7.50%,"30,000"
2007,Q1,hcmax,sell,GR, - Goodrich Corp.,Reduce 15.00%,"15,000"
2007,Q1,hcmax,buy,GS, - Goldman Sachs Group,Buy ,"24,000"
2007,Q1,SSHFX,buy,GT, - Goodyear Tire & Rubber,Buy ,"1,302,700"
2007,Q1,BAUPOST,buy,HAC, - Harbor Acquisition Corp.,Add 11.08%,"165,900"
2007,Q1,SSHFX,buy,HAL, - Halliburton Co.,Buy ,"1,453,100"
2007,Q1,BAUPOST,sell,HAQ, - Healthcare Acquisition Corp.,Sell 100.00%,"168,900"
2007,Q1,BAUPOST,buy,HC, - Hanover Compressor,Buy ,"225,438"
2007,Q1,BAUPOST,sell,HC, - Hanover Compressor,Sell 100.00%,"225,438"
2007,Q1,ARFFX,buy,HD, - Home Depot,Add 9.95%,"3,900"
2007,Q1,hcmax,buy,HD, - Home Depot,Add 13.04%,"15,000"
2007,Q1,ARFFX,buy,HEW, - Hewitt Associates Inc.,Add 3.49%,"2,100"
2007,Q1,ARFFX,sell,HEW, - Hewitt Associates Inc.,Reduce 21.61%,"16,600"
2007,Q1,CAAPX,buy,HEW, - Hewitt Associates Inc.,Add 44.82%,"606,200"
2007,Q1,GLRE,buy,HEW, - Hewitt Associates Inc.,Buy ,"1,600,000"
2007,Q1,GLRE,buy,HLX, - Helix Energy Solutions,Buy ,"7,012,991"
2007,Q1,SSHFX,buy,HMC, - Honda Motor Co. Ltd.,Add 8.51%,"153,600"
2007,Q1,SSHFX,buy,HPQ, - HP Inc.,Add 3.59%,"52,700"
2007,Q1,hcmax,buy,HPQ, - HP Inc.,Add 8.70%,"10,000"
2007,Q1,ARFFX,buy,HRB, - H&R Block Inc.,Add 28.24%,"24,400"
2007,Q1,ARFFX,sell,HRB, - H&R Block Inc.,Reduce 28.34%,"31,400"
2007,Q1,BRK,sell,HRB, - H&R Block Inc.,Reduce 69.69%,"2,866,600"
2007,Q1,CAAPX,sell,HRB, - H&R Block Inc.,Reduce 10.89%,"418,300"
2007,Q1,oaklx,buy,HRB, - H&R Block Inc.,Add 3.24%,"500,000"
2007,Q1,BAUPOST,sell,HRZ, - Horizon Lines Inc.,Reduce 35.16%,"352,400"
2007,Q1,ARFFX,buy,IBM, - International Business Machines,Add 14.04%,"3,300"
2007,Q1,fairx,buy,IDT, - IDT Corp. CL B,Add 3.46%,"196,000"
2007,Q1,ARFFX,buy,IMS, - IMS Health Holdings,Add 12.18%,"5,200"
2007,Q1,oaklx,sell,IMS, - IMS Health Holdings,Reduce 3.61%,"300,000"
2007,Q1,oaklx,sell,INTC, - Intel Corp.,Reduce 12.50%,"1,500,000"
2007,Q1,SSHFX,buy,IVZ, - Invesco Ltd,Buy ,"2,103,800"
2007,Q1,fairx,buy,JEF, - Jefferies Financial Group Inc.,Add 14.56%,"635,000"
2007,Q1,BRK,buy,JNJ, - Johnson & Johnson,Add 9.21%,"4,480,248"
2007,Q1,BRK,buy,JNJ, - Johnson & Johnson,Add 97.92%,"24,076,800"
2007,Q1,CAAPX,sell,JNS, - Janus Capital Group,Reduce 22.66%,"1,000,000"
2007,Q1,CAAPX,sell,JNS, - Janus Capital Group,Reduce 1.38%,"61,800"
2007,Q1,ARFFX,buy,JPM, - JPMorgan Chase & Co.,Add 3.14%,"1,100"
2007,Q1,ARFFX,buy,JPM, - JPMorgan Chase & Co.,Add 12.90%,"4,000"
2007,Q1,SSHFX,buy,KCI, - Kinetic Concepts Inc.,Add 7.59%,"76,500"
2007,Q1,WVALX,sell,LBTYA, - Liberty Global Inc.,Sell 100.00%,"1,062,520"
2007,Q1,hcmax,buy,LH, - Laboratory Corp. of America Hldgs,Add 7.69%,"5,000"
2007,Q1,hcmax,sell,LH, - Laboratory Corp. of America Hldgs,Reduce 14.29%,"10,000"
2007,Q1,LLPFX,buy,LVLT, - Level 3 Communications Inc.,Add 89.56%,"72,568,754"
2007,Q1,BAUPOST,buy,MAQ, - Marathon Acquisition Corp.,Add 55.82%,"1,747,239"
2007,Q1,CAAPX,sell,MAT, - Mattel Inc.,Reduce 42.83%,"814,100"
2007,Q1,TWEBX,sell,MBI, - MBIA Inc.,Reduce 67.67%,"182,376"
2007,Q1,oaklx,sell,MCD, - McDonald's Corp.,Reduce 13.41%,"1,100,000"
2007,Q1,FPPTX,buy,MCY, - Mercury General Corp.,Add 64.67%,"300,000"
2007,Q1,MPGFX,buy,MDT, - Medtronic plc,Add 2.33%,"50,000"
2007,Q1,BAUPOST,buy,MEJ, - Santa Monica Media Corp.,Buy ,"750,000"
2007,Q1,BAUPOST,sell,MGAM-OLD, - Multimedia Games Inc.,Reduce 7.10%,"100,000"
2007,Q1,CAAPX,sell,MHK, - Mohawk Industries,Reduce 9.39%,"125,600"
2007,Q1,WVALX,sell,MHK, - Mohawk Industries,Sell 100.00%,"21,500"
2007,Q1,fairx,buy,MHK, - Mohawk Industries,Add 5.71%,"132,400"
2007,Q1,SSHFX,buy,MMC, - Marsh & McLennan,Add 77.27%,"1,093,000"
2007,Q1,fairx,sell,MMC, - Marsh & McLennan,Sell 100.00%,"230,400"
2007,Q1,CAAPX,buy,MNI, - McClatchy Co.,Add 8.13%,"15,000"
2007,Q1,hcmax,buy,MOT, - Motorola Inc.,Add 46.15%,"90,000"
2007,Q1,ARFFX,sell,MS, - Morgan Stanley,Sell 100.00%,"13,800"
2007,Q1,ARFFX,sell,MS, - Morgan Stanley,Reduce 18.82%,"3,200"
2007,Q1,MPGFX,sell,MTSC, - MTS Systems Corp.,Reduce 2.06%,"25,000"
2007,Q1,fairx,buy,MWA.B, - Mueller Water Products CL B,Add 2.94%,"239,700"
2007,Q1,FPPTX,sell,NOV, - Nov Inc.,Sell 100.00%,"1,471,000"
2007,Q1,TWEBX,buy,NSC, - Norfolk Southern Corp.,Buy ,"98,000"
2007,Q1,CAAPX,sell,NTRS, - Northern Trust Corp.,Reduce 12.53%,"250,300"
2007,Q1,CAAPX,sell,NTRS, - Northern Trust Corp.,Reduce 7.63%,"165,100"
2007,Q1,TWEBX,sell,NWLI, - National Western Life Group Inc.,Reduce 0.27%,204
2007,Q1,WVALX,sell,NWSA, - News Corp.,Sell 100.00%,"800,000"
2007,Q1,CAAPX,sell,OMC, - Omnicom Group,Reduce 5.32%,"93,600"
2007,Q1,MPGFX,buy,PDCO, - Patterson Cos. Inc.,Add 2.63%,"20,000"
2007,Q1,BRK,buy,PG, - Procter & Gamble,Add 5.25%,"5,246,800"
2007,Q1,SEQUX,sell,PGR, - Progressive Corp.,Reduce 42.68%,"8,123,652"
2007,Q1,LLPFX,sell,PHG, - Koninklijke Philips Electronics NV,Reduce 8.23%,"147,000"
2007,Q1,oaklx,buy,PHM, - PulteGroup Inc.,Add 8.37%,"500,000"
2007,Q1,MPGFX,buy,PNR, - Pentair plc,Add 1.83%,"40,000"
2007,Q1,FPPTX,buy,PTEN, - Patterson-UTI Energy Inc.,Add 6.93%,"257,500"
2007,Q1,FPPTX,sell,RCII, - Rent-A-Center,Sell 100.00%,"1,309,200"
2007,Q1,FPPTX,buy,RDC, - Rowan Cos.,Add 7.74%,"170,500"
2007,Q1,LLPFX,sell,S-OLD, - Sprint Corp.,Reduce 39.97%,"10,719,661"
2007,Q1,oaklx,buy,S-OLD, - Sprint Corp.,Buy ,"10,000,000"
2007,Q1,GLRE,buy,SAI, - SAIC Inc.,Add 28.43%,"646,000"
2007,Q1,BAUPOST,buy,SCHS, - School Specialty,Buy ,"1,018,893"
2007,Q1,TWEBX,sell,SCL, - Stepan Co.,Sell 100.00%,"79,070"
2007,Q1,BAUPOST,sell,SEA, - Star Maritime Acquisition Corp.,Sell 100.00%,"2,845,200"
2007,Q1,SSHFX,buy,SHEL, - Shell plc,Add 71.75%,"447,600"
2007,Q1,TWEBX,sell,SKUOF, - Shikoku Coca-Cola Bottling Co. Ltd.,Sell 100.00%,"19,500"
2007,Q1,BAUPOST,buy,SLM, - SLM Corp.,Buy ,"11,052,100"
2007,Q1,BRK,buy,SNY, - Sanofi Aventis,Add 69.60%,"340,000"
2007,Q1,MPGFX,sell,SSYS, - Stratasys Ltd.,Reduce 14.37%,"123,600"
2007,Q1,CAAPX,buy,STZ, - Constellation Brands,Add 144.60%,"2,059,200"
2007,Q1,MPGFX,sell,SVU, - Supervalu Inc.,Reduce 34.32%,"52,858"
2007,Q1,MPGFX,sell,SVU, - Supervalu Inc.,Reduce 33.46%,"77,429"
2007,Q1,WVALX,sell,TDS.S, - Telephone and Data Systems Inc. Special,Reduce 7.11%,"126,100"
2007,Q1,FPPTX,sell,THO, - Thor Industries,Reduce 33.21%,"242,000"
2007,Q1,ARFFX,buy,TM, - Toyota Motor Corp.,Add 10.37%,"1,700"
2007,Q1,CAAPX,sell,TRB-OLD, - Tribune Co.,Sell 100.00%,"4,046,450"
2007,Q1,CAAPX,sell,TRB-OLD, - Tribune Co.,Reduce 4.94%,"210,400"
2007,Q1,TWEBX,sell,TRH, - Transatlantic Holdings Inc.,Reduce 9.97%,"42,779"
2007,Q1,FPPTX,sell,TRN, - Trinity Industries,Reduce 2.00%,"100,000"
2007,Q1,MPGFX,sell,TRV, - Travelers Companies Inc.,Reduce 5.00%,"50,000"
2007,Q1,SSHFX,buy,TWX, - Time Warner Inc.,Add 6.25%,"300,700"
2007,Q1,oaklx,sell,TWX, - Time Warner Inc.,Reduce 5.22%,"800,000"
2007,Q1,ARFFX,buy,TYC, - Tyco International,Add 9.30%,"6,400"
2007,Q1,ARFFX,buy,UBS, - UBS AG,Buy ,"19,700"
2007,Q1,BAUPOST,buy,UCO, - Universal Compression Holdings Inc.,Buy ,"2,597,864"
2007,Q1,BAUPOST,buy,UFS, - Domtar Corp.,Buy ,"12,500,000"
2007,Q1,MPGFX,buy,UPS, - United Parcel Service,Add 1250.00%,"250,000"
2007,Q1,ARFFX,buy,USG, - USG Corp.,Buy ,"27,200"
2007,Q1,CAAPX,buy,USG, - USG Corp.,Add 36.62%,"303,800"
2007,Q1,BAUPOST,buy,VRY, - Victory Acquisition Corp.,Buy ,"400,000"
2007,Q1,BAUPOST,buy,VTG, - Vantage Energy Services Inc.,Buy ,"675,000"
2007,Q1,MPGFX,sell,VZ, - Verizon Communications,Sell 100.00%,"30,000"
2007,Q1,hcmax,buy,VZ, - Verizon Communications,Add 8.33%,"10,000"
2007,Q1,SSHFX,buy,WDC, - Western Digital Corp.,Buy ,"1,190,700"
2007,Q1,BRK,buy,WFC, - Wells Fargo,Add 10.95%,"25,430,768"
2007,Q1,hcmax,buy,WFM, - Whole Foods Market,Add 50.00%,"70,000"
2007,Q1,LUK,sell,WINN, - Winn Dixie Stores Inc.,Reduce 91.73%,"462,542"
2007,Q1,GLRE,buy,WLT, - Walter Energy Inc.,Add 398.30%,"1,518,700"
2007,Q1,SSHFX,buy,WM, - Waste Management Inc.,Add 4.05%,"87,500"
2007,Q1,GLRE,buy,WNG, - Washington Group International Inc.,Add 2.17%,"61,900"
2007,Q1,LUK,buy,WNG, - Washington Group International Inc.,Buy ,"3,514"
2007,Q1,BRK,sell,WU, - Western Union Co.,Reduce 1.32%,"132,000"
2007,Q1,LUK,buy,ZEUS, - Olympic Steel Inc.,Buy ,"520,000"
2007,Q2,CAAPX,sell,ACN, - Accenture,Reduce 21.46%,"659,400"
2007,Q2,WVALX,sell,ADPAL, - Adelphia Recovery Trust Series ACC-7,Sell 100.00%,"3,535,000"
2007,Q2,SSHFX,buy,AES, - AES Corp.,Add 16.56%,"730,600"
2007,Q2,SSHFX,buy,AES, - AES Corp.,Add 26.20%,"916,100"
2007,Q2,hcmax,sell,AET, - Aetna Inc.,Reduce 10.00%,"11,000"
2007,Q2,ARFFX,buy,AFL, - AFLAC Inc.,Add 8.92%,"5,800"
2007,Q2,hcmax,sell,ALD, - Allied Capital Corp.,Reduce 5.76%,"9,510"
2007,Q2,MPGFX,buy,AMGN, - Amgen,Add 11.11%,"10,000"
2007,Q2,BRK,sell,AMP, - Ameriprise Financial Inc.,Reduce 41.20%,"1,763,900"
2007,Q2,GLRE,buy,AMP, - Ameriprise Financial Inc.,Add 5.70%,"300,000"
2007,Q2,WVALX,buy,AMTD, - AMTD IDEA Group,Buy ,"100,000"
2007,Q2,TWEBX,sell,ANAT-OLD, - American National Group Inc.,Reduce 9.93%,"7,000"
2007,Q2,SSHFX,buy,AON, - Aon Plc,Add 6.88%,"120,700"
2007,Q2,WVALX,sell,APOL, - Apollo Education Group Inc.,Reduce 65.38%,"850,000"
2007,Q2,BAUPOST,buy,AROC, - Archrock Inc.,Buy ,"960,667"
2007,Q2,BRK,buy,BAC, - Bank of America Corp.,Add 4.60%,"400,000"
2007,Q2,SSHFX,buy,BAC, - Bank of America Corp.,Add 18.70%,"312,900"
2007,Q2,GLRE,buy,BAGL, - Einstein Noah Restaurant Group Inc.,Buy ,"10,733,469"
2007,Q2,MPGFX,sell,BAX, - Baxter International Inc.,Reduce 1.30%,"20,000"
2007,Q2,MPGFX,sell,BGG, - Briggs & Stratton,Reduce 23.75%,"228,000"
2007,Q2,GLRE,buy,BIOF, - BioFuel Energy Corp.,Buy ,"7,542,104"
2007,Q2,WVALX,buy,BMN, - Bimini Capital Management Inc.,Buy ,"700,000"
2007,Q2,oaklx,sell,BMY, - Bristol-Myers Squibb,Reduce 8.20%,"680,000"
2007,Q2,oaklx,sell,BMY, - Bristol-Myers Squibb,Reduce 2.36%,"200,000"
2007,Q2,BRK,buy,BNI, - Burlington Northern Santa Fe,Add 12.64%,"4,380,054"
2007,Q2,TWEBX,sell,BPOP, - Popular Inc.,Reduce 11.75%,"50,000"
2007,Q2,SEQUX,sell,BRK.A, - Berkshire Hathaway CL A,Reduce 23.53%,"1,890"
2007,Q2,SEQUX,sell,BRK.A, - Berkshire Hathaway CL A,Reduce 3.53%,294
2007,Q2,fairx,buy,BRK.A, - Berkshire Hathaway CL A,Add 4.67%,380
2007,Q2,fairx,buy,BRK.A, - Berkshire Hathaway CL A,Add 19.56%,"1,332"
2007,Q2,ARFFX,buy,BRK.B, - Berkshire Hathaway Inc. CL B,Add 1.21%,500
2007,Q2,ARFFX,buy,BRK.B, - Berkshire Hathaway CL B,Add 5.76%,"2,250"
2007,Q2,SSHFX,buy,BRL, - Barr Pharmaceuticals Inc.,Add 17.70%,"258,100"
2007,Q2,SSHFX,buy,BSX, - Boston Scientific,Add 52.09%,"2,748,100"
2007,Q2,SSHFX,buy,BSX, - Boston Scientific,Add 27.34%,"1,132,700"
2007,Q2,ARFFX,buy,C, - Citigroup Inc.,Add 7.42%,230
2007,Q2,CAAPX,buy,CBRE, - CBRE Group,Buy ,"989,450"
2007,Q2,CAAPX,sell,CBS, - CBS Corp.,Reduce 29.40%,"1,004,900"
2007,Q2,ARFFX,buy,CCL, - Carnival Corp.,Add 4.96%,"1,900"
2007,Q2,CAAPX,sell,CCL, - Carnival Corp.,Reduce 25.46%,"611,900"
2007,Q2,BRK,buy,CDCO, - Comdisco Holding Co.,Add 0.95%,"14,420"
2007,Q2,MPGFX,sell,CEN-OLD, - Ceridian Corp.,Reduce 28.51%,"690,000"
2007,Q2,CAAPX,sell,CFC, - Countrywide Financial Corp.,Sell 100.00%,"1,313,400"
2007,Q2,fairx,sell,CLMT, - Calumet Specialty Products,Reduce 99.03%,"215,153"
2007,Q2,TWEBX,sell,CMCSK-OLD, - Comcast Corp. CL A Spl,Reduce 10.43%,"100,000"
2007,Q2,WVALX,sell,CMLS, - Cumulus Media Inc.,Reduce 25.26%,"47,354"
2007,Q2,fairx,buy,CNQ, - Canadian Natural Resources,Add 9.65%,"2,585,400"
2007,Q2,fairx,buy,CNQ, - Canadian Natural Resources,Add 18.43%,"4,169,200"
2007,Q2,BAUPOST,buy,CORE, - Core Mark Holding Co. Inc. ,Add 6.35%,"107,260"
2007,Q2,ARFFX,buy,COV-OLD, - Covidien Plc.,Buy ,"40,275"
2007,Q2,GLRE,buy,COV-OLD, - Covidien Plc.,Buy ,"157,600"
2007,Q2,BAUPOST,sell,CPBR, - ClearPoint Business Resources Inc.,Reduce 1.51%,"8,700"
2007,Q2,LLPFX,buy,CX, - Cemex,Add 17.62%,"2,896,157"
2007,Q2,CAAPX,buy,CYN, - City National Corp.,Add 7.82%,"87,300"
2007,Q2,MPGFX,buy,DCI, - Donaldson Co.,Add 0.43%,"20,000"
2007,Q2,hcmax,sell,DD-OLD, - Du Pont (E.I.) OLD,Reduce 5.00%,"5,000"
2007,Q2,ARFFX,buy,DELL-OLD, - Dell Inc.,Add 5.07%,"4,200"
2007,Q2,oaklx,sell,DELL-OLD, - Dell Inc.,Reduce 18.67%,"1,587,000"
2007,Q2,hcmax,sell,DHI, - D.R. Horton,Reduce 7.93%,"17,280"
2007,Q2,SSHFX,buy,DIS, - Walt Disney Co.,Add 13.98%,"313,100"
2007,Q2,LLPFX,sell,DISCA-OLD, - Discovery Inc. OLD,Sell 100.00%,"4,335,344"
2007,Q2,fairx,buy,DISH, - Dish Network Corp.,Add 8.14%,"766,400"
2007,Q2,fairx,buy,DJCO, - Daily Journal Corp.,Add 0.62%,300
2007,Q2,oaklx,sell,DNB, - Dun & Bradstreet,Reduce 30.74%,"637,000"
2007,Q2,LLPFX,buy,EBAY, - eBay Inc.,Add 86.59%,"4,255,950"
2007,Q2,MPGFX,sell,EFD, - eFunds Corp.,Sell 100.00%,"919,130"
2007,Q2,MPGFX,sell,EFD, - eFunds Corp.,Reduce 28.03%,"357,900"
2007,Q2,BAUPOST,buy,ELOS, - Syneron Medical Ltd.,Add 18.99%,"367,064"
2007,Q2,BRK,buy,ELV, - Elevance Health Inc.,Add 328.70%,"3,220,300"
2007,Q2,hcmax,sell,EMC, - EMC Corp.,Sell 100.00%,"311,000"
2007,Q2,LUK,sell,EMN, - Eastman Chemical,Sell 100.00%,"8,012,154"
2007,Q2,SSHFX,buy,EP, - El Paso Corp.,Add 18.23%,"838,900"
2007,Q2,BAUPOST,buy,FAF, - First Amer'n Corp.,Add 40.98%,"412,173"
2007,Q2,BAUPOST,buy,FAF, - First Amer'n Corp.,Buy ,"1,005,800"
2007,Q2,SEQUX,sell,FAST, - Fastenal,Reduce 1.25%,"202,400"
2007,Q2,hcmax,sell,FDX, - FedEx Corp.,Reduce 3.33%,"1,500"
2007,Q2,TWEBX,sell,FII-OLD, - Federated Investors Inc.,Reduce 9.18%,"50,000"
2007,Q2,GLRE,buy,FLML-OLD, - Flamel Technologies SA,Add 16.05%,"260,963"
2007,Q2,TWEBX,sell,FMCC, - Federal Home Loan Mortgage Corp.,Reduce 11.17%,"30,000"
2007,Q2,WVALX,sell,FNMA, - Federal National Mortgage Association,Reduce 4.03%,"84,000"
2007,Q2,BAUPOST,buy,FRH, - Freedom Acquisition Holdings Inc.,Add 55.56%,"1,000,000"
2007,Q2,TWEBX,sell,FTR, - Frontier Communications,Sell 100.00%,"4,792"
2007,Q2,MPGFX,sell,FUL, - H.B. Fuller Co.,Reduce 2.11%,"70,000"
2007,Q2,CAAPX,buy,GCI, - Gannett Co.,Add 2.41%,"42,700"
2007,Q2,hcmax,sell,GE, - General Electric,Reduce 3.34%,582
2007,Q2,SSHFX,buy,GEN, - Gen Digital Inc.,Add 8.90%,"404,200"
2007,Q2,SSHFX,buy,GHC, - Graham Holdings Co.,Add 21.48%,"20,745"
2007,Q2,WVALX,sell,GHC, - Graham Holdings Co.,Reduce 2.47%,"4,060"
2007,Q2,GLRE,buy,GNW, - Genworth Financial Inc.,Add 15.98%,"411,800"
2007,Q2,SSHFX,buy,GOLD, - Barrick Gold Corp.,Add 91.28%,"1,391,900"
2007,Q2,hcmax,sell,GR, - Goodrich Corp.,Sell 100.00%,"85,000"
2007,Q2,hcmax,sell,GS, - Goldman Sachs Group,Reduce 8.33%,"2,000"
2007,Q2,SSHFX,buy,GT, - Goodyear Tire & Rubber,Add 53.84%,"701,400"
2007,Q2,SSHFX,buy,HAL, - Halliburton Co.,Add 5.60%,"81,400"
2007,Q2,CAAPX,buy,HCC-OLD, - HCC Insurance Holdings,Add 3.80%,"66,300"
2007,Q2,ARFFX,buy,HD, - Home Depot,Add 5.34%,"2,300"
2007,Q2,BAUPOST,sell,HD, - Home Depot,Sell 100.00%,"1,500,000"
2007,Q2,hcmax,sell,HD, - Home Depot,Reduce 7.69%,"10,000"
2007,Q2,oaklx,buy,HD, - Home Depot,Buy ,"5,000,000"
2007,Q2,oaklx,sell,HD, - Home Depot,Reduce 8.00%,"400,000"
2007,Q2,ARFFX,sell,HEW, - Hewitt Associates Inc. CL A,Reduce 49.60%,"30,900"
2007,Q2,CAAPX,buy,HEW, - Hewitt Associates Inc.,Add 1.84%,"36,000"
2007,Q2,CAAPX,sell,HHS, - Harte-Hanks Inc.,Reduce 37.30%,"661,300"
2007,Q2,GLRE,buy,HLX, - Helix Energy Solutions,Add 30.04%,"2,107,009"
